code	name	price	type	ref	cs
2312	Комплект норковый	4990	99	http://shapka-moda.ru/images/product/s/11429d4f85.jpg	8EFE65493E1334DD2E297BD7105EA76E
2313	Шапка Ермолка с разрезом и бубоном	5890	99	http://shapka-moda.ru/images/product/s/1143085252.jpg	5A036E684831794D25E0EDF6AB992FED
2314	Шапка Ермолка с разрезом и бубоном	5890	99	http://shapka-moda.ru/images/product/s/11431deb1d.jpg	4AE2F6CEE46834C1D141274F9CC10285
2315	Шапка Ермолка с разрезом и бубоном	5890	99	http://shapka-moda.ru/images/product/s/1143284e38.jpg	53BE78F1B4AAFFD2758DB229263E2EA0
2316	Шапка Ермолка с разрезом и бубоном	5890	99	http://shapka-moda.ru/images/product/s/1143377258.jpg	CB0A230DC4CF7D5742650A9976E003C8
2317	Шапка Ермолка с разрезом и бубоном	5890	99	http://shapka-moda.ru/images/product/s/1143401477.jpg	93371D94CF52AAEC8E202E64C885D205
2318	Шапка Мария	6390	99	http://shapka-moda.ru/images/product/s/1143568398.jpg	DB01E496FDA1038B04983B95969ED9FD
2319	Шапка Мария	6390	99	http://shapka-moda.ru/images/product/s/11436cbd49.jpg	41C4D63EB56DF30FDC6062482B4D55BE
2320	Шапка Мария	6390	99	http://shapka-moda.ru/images/product/s/114376b738.jpg	2E6CACA13750DAA92EF0278D440E9CB2
2321	Шапка Мария	6390	99	http://shapka-moda.ru/images/product/s/11438c0ccf.jpg	888C223D34F844AF9F4D03F69D54E573
2322	Шапка Мария	6390	99	http://shapka-moda.ru/images/product/s/114392964c.jpg	D6D79DDD3EEFDCE2055CD1D176968D11
2323	Шапка Бейсболка	6390	99	http://shapka-moda.ru/images/product/s/1144064236.jpg	90278177E0311C429823CF4D5B9F63D8
2324	Шапка Бейсболка	6390	99	http://shapka-moda.ru/images/product/s/114414c398.jpg	28A01CB809D58A911F5FDE28CA80E5F0
2325	Шапка Бейсболка	6390	99	http://shapka-moda.ru/images/product/s/11442bb133.jpg	EB62712600E468C3E896A6B567468254
2326	Шапка Бейсболка	6390	99	http://shapka-moda.ru/images/product/s/11443ebd4e.jpg	F02C146C107B68BC4A1EBADC4FCDA1C8
2327	Шапка Бейсболка	6390	99	http://shapka-moda.ru/images/product/s/11444c2b39.jpg	F0E55D1DFC725CC8CB10DC2BDB7BAE81
2328	Шапка Бейсболка	6390	99	http://shapka-moda.ru/images/product/s/11445ab8b6.jpg	00DBE1CCA5355BE368B18B7F8EA8E1E4
2329	Шапка Бейсболка	6390	99	http://shapka-moda.ru/images/product/s/11446e5626.jpg	1B81E53D7C6884B111C6DA11E9615D67
2330	Шапка Зимушка	5490	99	http://shapka-moda.ru/images/product/s/11447ea214.jpg	95CFA5E3B498A7FB3A9DBB0754E1D8E9
2331	Шапка Зимушка	5490	99	http://shapka-moda.ru/images/product/s/1144865540.jpg	61E92BEE7D2703D33A7C0864CEB1FBA2
2332	Шапка Зимушка	5490	99	http://shapka-moda.ru/images/product/s/114498627a.jpg	21E8F1CE4BCC412C7769D356C7978F5A
2333	Шапка Зимушка	5490	99	http://shapka-moda.ru/images/product/s/11450d5509.jpg	AEAAD132B641283CF023F5904C50567B
2334	Шапка Зимушка	5490	99	http://shapka-moda.ru/images/product/s/114519560c.jpg	AC478FAE10860D335960E7008EA86581
2335	Шапка Зимушка	5490	99	http://shapka-moda.ru/images/product/s/114528dcad.jpg	1FA6F18AD7CBBB66F47CA5FDA6EB4607
2336	Шапка Зимушка	5990	99	http://shapka-moda.ru/images/product/s/1145334a18.jpg	69C67473A9FC6DF41C69C6CFDC70DA4D
2337	Шапка Зимушка	5490	99	http://shapka-moda.ru/images/product/s/11454934a0.jpg	80E3A1D52AB7BA3BDD301043914E8BDF
2338	Шапка Зимушка	5490	99	http://shapka-moda.ru/images/product/s/114551d1a7.jpg	E3A7D492983873D781EC9B6393061DC1
2339	Шапка Зимушка чернобурая	5990	99	http://shapka-moda.ru/images/product/s/11456b70d6.jpg	4F96CACB5873ECEBB63B04B80B80A122
2340	Шапка Зимушка чернобурая	5990	99	http://shapka-moda.ru/images/product/s/11457b1fe7.jpg	D47B14FDB06C455755016127FA1523F9
2341	Шапка Сноп	5990	99	http://shapka-moda.ru/images/product/s/1145877e43.jpg	EE7E10CE187F0537BFFF9941EDD6320D
2342	Шапка Сноп	5990	99	http://shapka-moda.ru/images/product/s/11459eec1c.jpg	C1248FD75257C1F94AD428CBA6865131
2343	Шапка Сноп	5990	99	http://shapka-moda.ru/images/product/s/114602f8b0.jpg	99A623F9506C6716B92A0191FB96F33A
2344	Шапка Сноп	5990	99	http://shapka-moda.ru/images/product/s/1146158bd4.jpg	5691AD9FC513B19B4EBF4E5B1D575CA1
2345	Шапка Сноп	6690	99	http://shapka-moda.ru/images/product/s/11462e6461.jpg	241B572F46AD17804A306EFA68EFD8F9
2346	Шапка Сноп	7690	99	http://shapka-moda.ru/images/product/s/1146310c48.jpg	F8D25ACCC8B8170BBA99EA2F36C6BCC0
2347	Шапка Мария	4990	99	http://shapka-moda.ru/images/product/s/11464049c6.jpg	3B85601E439D8AA3D57190BC6AD15BAC
2348	Шапка Мария	4990	99	http://shapka-moda.ru/images/product/s/11465ef3e5.jpg	B764F659EB1D24F12C45B4B5A52AA724
2349	Шапка Мария	4990	99	http://shapka-moda.ru/images/product/s/1146628a88.jpg	5EAF2B7DE1D1F06DFB69A772BBB77E05
2350	Шапка Бейсболка	4690	99	http://shapka-moda.ru/images/product/s/11467bbc49.jpg	BCE0BE379EDC4E40CAD2EE5EFA177B5E
2351	Шапка Бейсболка	4690	99	http://shapka-moda.ru/images/product/s/11468a492f.jpg	1A84B640C12987D4EC06448F002B10FA
2352	Шапка Бейсболка	4690	99	http://shapka-moda.ru/images/product/s/114693c8ef.jpg	A20251EDD30593E9EAD3AC8E7BD8BDB0
2353	Шапка Бейсболка-кошка	4690	99	http://shapka-moda.ru/images/product/s/11470e55f0.jpg	81285B544F171355FD8FD13BA63782C4
2354	Шапка Бейсболка-кошка	4690	99	http://shapka-moda.ru/images/product/s/1147140b3f.jpg	F3E6E5BF12CF626327E6C7425D8DD0C0
2355	Шапка Панда	3990	99	http://shapka-moda.ru/images/product/s/1147252535.jpg	9DCE2E6013E995EA337A489FE55A4CBB
2356	Шапка Панда	3990	99	http://shapka-moda.ru/images/product/s/11473ada20.jpg	4C2091F2B31CE573CC5BCD1A76008464
2357	Шапка Лыжница с лобиком	5490	99	http://shapka-moda.ru/images/product/s/1147451a51.jpg	E24C63CC7373C14CE8556E95168A2F33
2358	Шапка Лыжница с лобиком	5490	99	http://shapka-moda.ru/images/product/s/114754e4c9.jpg	2AA990A11FF632FA75723E58094FC3D8
2359	Шапка Сноп с лобиком	7890	99	http://shapka-moda.ru/images/product/s/11476a9333.jpg	9C7FC5741D514F44B25347C4BE23A37D
2360	Шапка Сноп с лобиком	7890	99	http://shapka-moda.ru/images/product/s/11477e68bd.jpg	14E60EFD58FE1CC656C12BA35ECF2E41
2361	Шапка Сноп с лобиком	7890	99	http://shapka-moda.ru/images/product/s/11478ee2f6.jpg	46C184FE71005962272329D8110DD124
